Date,Open,High,Low,Close,Adj Close,Volume
2014-06-12,597.130005,619.140015,594.869995,610.349976,610.349976,4612164
2014-06-13,610.349976,613.770020,563.679993,583.419983,583.419983,2985483
2014-06-14,583.419983,587.830017,560.849976,582.289978,582.289978,2272289
2014-06-15,582.289978,606.140015,580.450012,599.080017,599.080017,2403694
2014-06-16,599.080017,608.429993,594.859985,605.090027,605.090027,1820590
2014-06-17,605.090027,614.400024,603.609985,606.210022,606.210022,2037434
2014-06-18,606.210022,612.580017,598.669983,600.169983,600.169983,3433287
2014-06-19,600.169983,602.049988,587.099976,590.750000,590.750000,1312852
2014-06-20,590.750000,599.210022,584.820007,597.039978,597.039978,1373722
2014-06-21,597.039978,610.080017,591.989990,603.619995,603.619995,1240859
2014-06-22,603.619995,604.650024,582.859985,591.169983,591.169983,1594834
2014-06-23,591.169983,595.650024,585.409973,588.770020,588.770020,1840620
2014-06-24,588.770020,589.559998,566.880005,568.450012,568.450012,1797681
2014-06-25,568.450012,582.710022,565.849976,582.700012,582.700012,2401035
2014-06-26,582.700012,603.940002,580.140015,602.229980,602.229980,2015064
2014-06-27,602.229980,608.760010,593.969971,597.559998,597.559998,1778752
2014-06-28,597.559998,604.280029,593.190002,601.059998,601.059998,1736172
2014-06-29,601.059998,637.280029,596.549988,635.140015,635.140015,2394861
2014-06-30,635.140015,652.539978,634.090027,643.190002,643.190002,2675353
2014-07-01,643.190002,652.099976,604.580017,645.719971,645.719971,3099761
2014-07-02,645.719971,646.400024,633.580017,638.030029,638.030029,2580980
2014-07-03,638.030029,642.219971,623.039978,623.960022,623.960022,2291612
2014-07-04,623.960022,627.799988,619.690002,622.960022,622.960022,2034965
2014-07-05,622.960022,629.440002,622.650024,626.650024,626.650024,1698242
2014-07-06,626.650024,627.929993,607.320007,613.599976,613.599976,1590944
2014-07-07,613.599976,619.650024,609.349976,615.320007,615.320007,2004899
2014-07-08,615.320007,623.820007,610.530029,623.000000,623.000000,1920482
2014-07-09,623.000000,624.950012,611.659973,618.390015,618.390015,2253171
2014-07-10,618.390015,633.619995,616.109985,632.900024,632.900024,1969199
2014-07-11,632.900024,638.590027,625.900024,635.900024,635.900024,2179286
2014-07-12,635.900024,638.640015,627.539978,628.030029,628.030029,1082830
2014-07-13,628.030029,628.989990,616.059998,618.320007,618.320007,1601572
2014-07-14,618.320007,624.419983,617.299988,619.599976,619.599976,2310446
2014-07-15,619.599976,622.359985,614.150024,614.799988,614.799988,1873008
2014-07-16,614.799988,632.549988,610.010010,626.580017,626.580017,1833775
2014-07-17,626.580017,630.150024,617.919983,627.469971,627.469971,2109225
2014-07-18,627.469971,634.140015,625.140015,627.039978,627.039978,2505181
2014-07-19,627.039978,627.929993,619.960022,620.979980,620.979980,1442853
2014-07-20,620.979980,625.929993,615.020020,625.130005,625.130005,1596614
2014-07-21,625.130005,628.809998,620.000000,622.530029,622.530029,2068876
2014-07-22,622.530029,624.989990,621.000000,621.690002,621.690002,1372935
2014-07-23,621.690002,621.960022,599.380005,601.869995,601.869995,2896094
2014-07-24,601.869995,609.059998,597.400024,600.500000,600.500000,3592179
2014-07-25,600.500000,602.979980,593.250000,596.000000,596.000000,2095634
2014-07-26,596.000000,601.489990,593.690002,595.030029,595.030029,2118021
2014-07-27,595.030029,597.489990,578.140015,587.929993,587.929993,1391966
2014-07-28,587.929993,591.280029,579.530029,585.770020,585.770020,3962906
2014-07-29,585.770020,586.130005,564.179993,564.640015,564.640015,2397473
2014-07-30,564.640015,593.729980,564.010010,589.520020,589.520020,2057947
2014-07-31,589.520020,603.989990,586.429993,598.780029,598.780029,5356663
